device_id,event_id,timestamp,longitude,latitude,city,state,gender,age,group,phone_brand,device_model
-9222173362545970626,843176,2016-05-03 11:38:07,77.596375,23.11154,Mandidip,MadhyaPradesh,F,56,F43+,Samsung,Galaxy Note 2
-9218769147970107256,11140,2016-05-07 11:14:33,75.902908,22.762287,Indore,MadhyaPradesh,M,23,M23-26,Xiaomi,红米note
-9216657649173924273,69828,2016-05-03 00:43:30,78.075424,30.435457,DehraDun,Uttaranchal,M,21,M22-,vivo,X5SL
-9215766592714662253,278683,2016-05-06 11:56:31,79.594208,29.328396,Haldwani,Uttaranchal,F,34,F33-42,Coolpad,大神F1
-9211311018136103690,207185,2016-05-04 17:08:36,94.299019,26.131308,Wokha,Nagaland,M,23,M23-26,Meizu,MX4
-9206855930900389072,83942,2016-05-02 13:28:23,77.979111,23.910746,Basoda,MadhyaPradesh,M,34,M32-38,Xiaomi,MI 4
-9200975789875358770,12601,2016-05-07 12:26:44,75.906151,22.734348,Indore,MadhyaPradesh,M,31,M29-31,华硕,ZenFone 2
-9195844738096952132,13890,2016-05-05 13:33:16,75.884041,22.817102,Indore,MadhyaPradesh,F,20,F23-,Huawei,S8-701u
-9192398484632402541,286948,2016-05-07 19:51:41,81.912552,24.435728,Sidhi,MadhyaPradesh,M,22,M22-,Samsung,Galaxy A8
-9185683155567867976,12773,2016-05-07 12:32:45,75.952873,22.800367,Indore,MadhyaPradesh,F,33,F33-42,Huawei,荣耀6 Plus
-9181714613099539405,637329,2016-05-04 16:49:57,74.941734,32.750683,Jammu,JammuandKashmir,M,33,M32-38,Samsung,Galaxy S2
-9175623150662212253,12537,2016-05-06 12:41:28,75.88942,22.755203,Indore,MadhyaPradesh,M,38,M32-38,Xiaomi,红米Note2
-9168958962332712294,112411,2016-05-03 18:58:12,79.007515,29.309191,Kashipur,Uttaranchal,F,20,F23-,Samsung,Galaxy Mega 5.8
-9168417576593391006,72188,2016-05-01 05:04:13,79.015556,22.142269,Chhindwara,MadhyaPradesh,M,33,M32-38,Samsung,Galaxy Trend 3
-9162073465722795020,13246,2016-05-03 13:44:08,75.944633,22.773058,Indore,MadhyaPradesh,M,87,M39+,Xiaomi,MI 4
-9159239837868310775,1909869,2016-05-03 18:31:31,74.398209,34.272068,Baramula,JammuandKashmir,F,28,F27-28,OPPO,R1
-9155576106019233985,12262,2016-05-05 12:02:31,75.884666,22.739265,Indore,MadhyaPradesh,M,44,M39+,Xiaomi,GN810
-9155438545926765471,13543,2016-05-04 13:39:06,75.918915,22.732773,Indore,MadhyaPradesh,M,28,M27-28,Meizu,MX4 Pro
-9153245537488288364,12425,2016-05-06 11:59:00,75.944199,22.807592,Indore,MadhyaPradesh,M,25,M23-26,Xiaomi,红米note增强版
-9145267990384658662,25572,2016-05-06 21:36:29,77.97831,21.952948,Betul,MadhyaPradesh,F,38,F33-42,Coolpad,8729
-9138542865541441757,259121,2016-05-05 18:44:54,78.183601,26.302189,Gwalior,MadhyaPradesh,F,20,F23-,Xiaomi,红米Note3
-9135068837991621094,556987,2016-05-01 18:19:49,77.789764,24.654678,Ashoknagar,MadhyaPradesh,M,23,M23-26,Huawei,荣耀3X畅玩版
